route,xD,yD,xF,yF,tmja,tmja1,tmja2,tmja3,tmja4,tmja5
N0007,"769419,7","6560745,05","769416,76","6560442,5",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"769416,76","6560442,5","769468,31","6559972,24",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"769468,31","6559972,24","770100,31","6559431,21",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"770100,31","6559431,21","776522,52","6555661,36",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"776522,52","6555661,36",776718,"6555568,82",0.0,0.0,0.0,0.0,0.0,0.0
N0007,776718,"6555568,82","778564,85","6554633,59",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"778564,85","6554633,59","779149,01","6554302,76",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"779149,01","6554302,76","779418,67","6554086,37",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"779418,67","6554086,37","779566,87","6553966,44",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"779566,87","6553966,44","780252,67","6553409,08",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"780252,67","6553409,08","780629,16","6553085,96",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"780629,16","6553085,96","781083,7","6552725,11",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"781083,7","6552725,11","781578,66","6552299,28",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"781578,66","6552299,28","783289,2","6551124,07",0.0,0.0,0.0,0.0,0.0,0.0
N0007,"783289,2","6551124,07","787877,67","6541360,48",0.0,0.0,20933.0,0.0,20842.0,20312.0
N0007,"787877,67","6541360,48","787874,43","6541314,68",0.0,0.0,6926.0,0.0,8446.0,8369.0
N0007,"787960,24","6541302,85","788421,17","6541239,73",0.0,0.0,6926.0,0.0,8446.0,8369.0
